Payment Type,State ,Sum of Amount
Cash,Bauchi,881972
Cash,Bayelsa,806351
Cash,Enugu,618841
Cash,Delta,496955
Cash,Anambra,465337
Cash,Ebonyi,352552
Cash,Akwa Ibom,286449
Cash,Borno,271364
Cash,Benue,246115
Cash,Adamawa,245069
Cash,Kaduna,206658
Cash,Gombe,174465
Cash,Ekiti,144583
Cash,Kebbi,137347
Cash,Edo,123480
Cash,Imo,107851
Cash,Abia,102596
Cash,Katsina,80740
Cash,Cross River,79062
Cash,Rivers,63612
Cash,Osun,47854
Cash,Niger,47443
Cash,Kogi,40085
Cash,Ondo,22992
Cash,Nasarawa,20793
Cash,Jigawa,17454
Cash,Kano,16251
Cash,Yobe,14306
Cash,Kwara,13609
Cash,Oyo,11600
Cash,Ogun,8599
Cash,Taraba,8447
Cash,Lagos,3951
Cash,Zamfara,3927
Cash,Sokoto,2235
